"mgm4524482.3"	"mgm4524483.3"	"mgm4524484.3"	"mgm4524485.3"	"mgm4524486.3"	"mgm4524487.3"	"mgm4524488.3"	"mgm4524489.3"	"mgm4524490.3"	"mgm4524491.3"	"mgm4524493.3"	"mgm4524494.3"	"mgm4524495.3"	"mgm4524496.3"	"mgm4524497.3"	"mgm4524498.3"	"mgm4524499.3"	"mgm4524500.3"	"mgm4524501.3"	"mgm4524502.3"	"mgm4524504.3"	"mgm4524505.3"
"Lactobacillales"	311	276	538	368	646	207	38	1152	60	409	268	33	93	234	51	2	48	158	35	105	2	71
"Bacillales"	198	85	65	20	221	125	47	5	1590	3327	1151	52	67	737	1017	223	95	162	1281	172	2	113
"Enterobacteriales"	361	131	1	26	37	0	43	30	1	0	0	20	88	1	0	0	0	0	0	0	238	38
"Oceanospirillales"	1	2353	47	6	385	6	568	494	1	2	1	1084	357	2697	77	1	55	30	133	1150	1	2991
"Actinomycetales"	2615	393	3999	2845	763	6103	5457	251	1954	2345	33	78	1373	1427	3526	3328	5522	3892	3097	4664	108	788
"unclassified (derived from Betaproteobacteria)"	16	1	0	8	0	10	0	0	0	0	0	0	16	0	0	0	0	0	3	1	0	1
"Alteromonadales"	3	928	0	0	562	2	15	16	0	1	1	3569	123	1146	195	2	1	0	5	29	6	149
"unclassified (derived from Proteobacteria)"	6	26	0	1	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	1	14
"Bifidobacteriales"	13	6	43	0	2	18	23	1	11	10	0	0	4	9	6	39	29	11	20	16	0	19
"Xanthomonadales"	5	16	0	0	1	0	0	2	0	1	0	0	128	0	0	0	0	0	1	50	1	0
"Pseudomonadales"	0	614	1303	595	1661	24	875	149	2	2	2	305	150	546	146	13	75	23	20	103	1962	1457
"unclassified (derived from unclassified sequences)"	0	101	12	49	388	1	267	45	1	1	0	205	39	314	22	0	27	6	6	79	0	460
"unclassified (derived from Alphaproteobacteria)"	0	2	0	0	0	0	0	0	0	3	0	0	7	0	0	0	0	0	0	0	0	0
"Flavobacteriales"	0	11	1	0	1	3	13	0	0	1	0	0	285	10	0	0	0	2	1	176	0	47
"Cytophagales"	0	1	0	0	0	3	1	0	0	0	0	0	58	6	0	0	0	0	6	39	0	4
"Legionellales"	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"unclassified (derived from Flavobacteria)"	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Chroococcales"	0	0	4	1	0	1	0	0	0	0	0	0	0	7	1	2	0	95	0	4	0	0
"Rhizobiales"	0	0	0	0	1	0	0	0	2	4	0	0	6	0	0	0	0	0	0	0	0	0
"Pasteurellales"	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"unclassified (derived from Epsilonproteobacteria)"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Caulobacterales"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"unclassified (derived from Actinobacteria (class))"	0	0	0	0	0	8	1	0	0	0	0	0	3	0	0	0	2	6	0	5	0	0
"Rhodobacterales"	0	0	0	0	0	1	0	0	0	3	1	0	13	20	0	0	0	0	0	19	0	0
"Bacteroidales"	0	0	0	0	0	0	2	1	3	0	0	0	58	14	0	0	1	2	3	35	0	0
"unclassified (derived from Bacteroidetes)"	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	6	0	0
"Rhodospirillales"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Rhodocyclales"	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	0
"Desulfobacterales"	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0
"Hydrogenophilales"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Methylococcales"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
"unclassified (derived from Deltaproteobacteria)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
"Thermoanaerobacterales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	54	0	0	0	0
"Myxococcales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Acholeplasmatales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
